date,city,fav_bracket,fav_lo,fav_hi,fav_prob,actual_high,fav_hit
2026-05-11,NYC,62-63°F,62.0,63.0,0.5800,,
2026-05-15,NYC,66-67°F,66.0,67.0,0.5500,,
2026-05-16,NYC,76-77°F,76.0,77.0,0.2900,,
2026-05-17,MIA,88-89°F,88.0,89.0,0.3800,,
2026-05-20,MIA,88-89°F,88.0,89.0,0.4900,,
2026-05-20,NYC,94-95°F,94.0,95.0,0.2900,,
2026-05-21,CHI,59°F or below,-inf,59.0,0.6060,,
2026-05-21,NYC,66-67°F,66.0,67.0,0.9370,,
2026-05-22,CHI,66°F or higher,66.0,inf,0.4700,,
2026-05-25,NYC,70°F or higher,70.0,inf,0.9600,,
2026-05-27,SIN,33°C,33.0,33.0,0.3300,,
2026-05-28,CHI,72-73°F,72.0,73.0,0.3000,,
2026-05-28,SIN,32°C,32.0,32.0,0.3750,,
2026-05-29,CHI,84°F or higher,84.0,inf,0.6800,,
2026-05-30,CHI,74°F or higher,74.0,inf,0.4200,,
2026-06-01,CHI,72-73°F,72.0,73.0,0.4300,,
2026-06-02,TYO,25°C,25.0,25.0,0.4950,,
