date,bracket,bracket_lo,bracket_hi,market_price,model_prob,edge,direction,trade_size,logged_at,actual_high,pnl,result
2026-05-11,62-63°F,62.0,63.0,0.5800,0.1618,-41.82,NO,20,2026-05-11 22:53,61.0,27.62,WIN
2026-05-11,64-65°F,64.0,65.0,0.2600,0.0636,-19.64,NO,20,2026-05-11 22:53,61.0,7.03,WIN
2026-05-15,66-67°F,66.0,67.0,0.5500,0.2080,-34.20,NO,15,2026-05-15 23:44,65.0,18.33,WIN
2026-05-15,68-69°F,68.0,69.0,0.3600,0.1040,-25.60,NO,10,2026-05-15 23:44,65.0,5.62,WIN
2026-05-16,76-77°F,76.0,77.0,0.2900,0.0920,-19.80,NO,23,2026-05-16 21:24,77.0,-23.00,LOSS
2026-05-16,74-75°F,74.0,75.0,0.2000,0.0350,-16.50,NO,19,2026-05-16 21:24,77.0,4.75,WIN
2026-05-16,80-81°F,80.0,81.0,0.0940,0.1450,+5.10,YES,1,2026-05-16 21:24,77.0,-1.00,LOSS
2026-05-17,90-91°F,90.0,91.0,0.1600,0.1100,-8.20,NO,23,2026-05-17 21:49,89.0,4.38,WIN
2026-05-17,88-89°F (MIA),88.0,89.0,0.3800,0.0350,-34.50,NO,40,2026-05-17 21:58,86.0,24.52,WIN
2026-05-20,94-95°F,94.0,95.0,0.2900,0.0690,-25.10,NO,10,2026-05-20 23:30,95.0,-10.00,LOSS
2026-05-20,88-89°F (MIA),88.0,89.0,0.4900,0.0870,-39.30,NO,10,2026-05-20 23:30,88.0,-10.00,LOSS
2026-05-21,66-67°F,66.0,67.0,0.9370,0.0690,-86.80,NO,5,2026-05-21 23:50,66.0,-5.00,LOSS
2026-05-21,59°F or below (CHI),-inf,59.0,0.6060,0.7630,+15.70,YES,55,2026-05-21 23:50,58.0,35.76,WIN
2026-05-21,90-91°F (MIA),90.0,91.0,0.1300,0.0000,-13.00,YES,4,2026-05-21 23:50,88.0,-4.00,LOSS
2026-05-22,66°F or higher (CHI),66.0,inf,0.4700,0.1970,-27.30,NO,3,2026-05-21 23:50,65.0,2.66,WIN
2026-05-22,68-69°F,68.0,69.0,0.2000,0.0230,-17.70,NO,5,2026-05-22 21:18,68.0,-5.00,LOSS
2026-05-22,66°F or higher (CHI),66.0,inf,0.2150,0.4280,+21.30,NO,1,2026-05-22 21:18,65.0,0.27,WIN
2026-05-25,70°F or higher,70.0,inf,0.9600,0.7750,-18.50,NO,1,2026-05-25 21:00,75.0,-1.00,LOSS
2026-05-25,90-91°F (MIA),90.0,91.0,0.1800,0.0520,-12.80,NO,1,2026-05-25 21:00,87.0,0.22,WIN
2026-05-25,86-87°F (MIA),86.0,87.0,0.1800,0.1910,+1.10,YES,1,2026-05-25 21:00,87.0,4.56,WIN
2026-05-26,82-83°F,82.0,83.0,0.1800,0.0400,-12.50,NO,8,2026-05-26 22:00,80.0,1.76,WIN
2026-05-27,28°C (TYO),28.0,28.0,0.2100,0.0000,-21.00,NO,2,2026-05-27 22:00,27.0,0.53,WIN
2026-05-27,33°C (SIN),33.0,33.0,0.3300,0.0060,-32.40,NO,2,2026-05-27 22:00,33.0,-2.00,LOSS
